A,B,C,D,E,F,G
K,R_NFT36,798,USPSEOSELIAAPUD,1761,162,KAQZSSKPPWRORYW
C,X_MM42e,38,IORHSTMRDEJEBPU,1530,208,DPQLFVEHBGGKXGX
K,R_NFT36,827,HBCWMFSNHTNNSOF,2255,209,OXMMZOZDYYWVGJG
E,K_12M34,940,XQCNPCOHYWSQVFY,1536,197,BNSCSXOJWAFTTVS
K,R_NFT36,643,HOSFKFOMXMCHXPL,4834,174,JIBGCETMMPEQHUC
H,O_Um421,595,TBAWQGLWABDNIIX,2652,174,JIBGCETMMPEQHUC
D,Y_A13Fm,583,QDMHXFMKFQWMNUF,4787,198,UHNHONUHHZTFLGT
H,O_Um421,390,CHVNCVKDEMWMRPE,3973,209,OXMMZOZDYYWVGJG
H,O_Um421,35,PSSVRABNAOGNKCP,3323,112,INOMZYINCCISUCQ
B,T_Fe134,838,ZLOCESNXHIZOOUL,3247,153,OLNSTYUIIIGYSSL
A,X_10fMM,863,YEESBRKROXSGSQS,4667,198,UHNHONUHHZTFLGT
D,Y_A13Fm,307,ILISBJAVSODTASL,2691,149,BGRMWMMUMEFOBGL
F,T_xEfV1,643,HOSFKFOMXMCHXPL,2428,215,QWJKGTTBATEWAHN
D,Y_A13Fm,295,EDJEGYBIQYVBXOA,2402,198,UHNHONUHHZTFLGT
A,X_10fMM,523,MLBHTRWIKRCOCYV,4407,162,KAQZSSKPPWRORYW
H,O_Um421,295,EDJEGYBIQYVBXOA,3692,215,QWJKGTTBATEWAHN
D,Y_A13Fm,16,KAMABLMDNQXPNDU,1561,112,INOMZYINCCISUCQ
F,T_xEfV1,469,GCCIJFZZLUSNZKR,2794,209,OXMMZOZDYYWVGJG
H,O_Um421,377,UHIWXYBDZCQDMBW,2648,197,BNSCSXOJWAFTTVS
E,K_12M34,650,UWIGXJDOHPGZKOC,2359,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,822,SKVFPHPLCMNHQPE,3488,162,KAQZSSKPPWRORYW
K,R_NFT36,523,MLBHTRWIKRCOCYV,4273,210,LCZQWSYFTCTBQUI
K,R_NFT36,669,NOQPNJDENANCVAR,3173,121,WWICVCDUHUKZAWN
G,U_oAo12,674,AFNIOPRUNAKVQOO,3652,112,INOMZYINCCISUCQ
K,R_NFT36,929,MZZSOCSUGSTUXPF,4239,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,213,AZVXUIYPGMHNZXJ,4387,209,OXMMZOZDYYWVGJG
B,T_Fe134,827,HBCWMFSNHTNNSOF,3173,153,OLNSTYUIIIGYSSL
B,T_Fe134,49,CPIEOLOBXRARHBO,1880,162,KAQZSSKPPWRORYW
H,O_Um421,307,ILISBJAVSODTASL,4784,181,CBKMUWJEKWNROTY
A,X_10fMM,337,GWZQDWLWEPCDWMX,1231,198,UHNHONUHHZTFLGT
G,U_oAo12,697,GHVMMFKKKMDGWBO,1057,210,LCZQWSYFTCTBQUI
E,K_12M34,473,RJWQPBLKMLUAIMZ,4743,121,WWICVCDUHUKZAWN
E,K_12M34,125,RVFYFMPWBZNWCQK,1425,209,OXMMZOZDYYWVGJG
K,R_NFT36,672,LTFQSCEYRBVKUAP,1280,209,OXMMZOZDYYWVGJG
G,U_oAo12,295,EDJEGYBIQYVBXOA,4705,208,DPQLFVEHBGGKXGX
B,T_Fe134,889,GMPOFQSNXAFECJD,1143,174,JIBGCETMMPEQHUC
F,T_xEfV1,49,CPIEOLOBXRARHBO,2222,209,OXMMZOZDYYWVGJG
B,T_Fe134,760,AIUYMMHXMPOYHJJ,1639,181,CBKMUWJEKWNROTY
G,U_oAo12,962,PLENQJDDYZULYKA,4701,209,OXMMZOZDYYWVGJG
G,U_oAo12,100,KHVFQKBBTJPBMQP,2614,162,KAQZSSKPPWRORYW
B,T_Fe134,142,XVRRJLDRBCRUBVU,1242,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,889,GMPOFQSNXAFECJD,2000,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,443,LLWUUQCYEXLUAIB,1188,210,LCZQWSYFTCTBQUI
H,O_Um421,100,KHVFQKBBTJPBMQP,1247,210,LCZQWSYFTCTBQUI
F,T_xEfV1,473,RJWQPBLKMLUAIMZ,2754,153,OLNSTYUIIIGYSSL
C,X_MM42e,725,PXGPTCHULHWPELF,2533,215,QWJKGTTBATEWAHN
A,X_10fMM,755,XIBUOKRQGJCFFMG,1017,112,INOMZYINCCISUCQ
K,R_NFT36,582,VIYZJRMURLLANOL,4401,174,JIBGCETMMPEQHUC
G,U_oAo12,16,KAMABLMDNQXPNDU,3202,121,WWICVCDUHUKZAWN
G,U_oAo12,669,NOQPNJDENANCVAR,1675,121,WWICVCDUHUKZAWN
F,T_xEfV1,213,AZVXUIYPGMHNZXJ,4050,208,DPQLFVEHBGGKXGX
E,K_12M34,785,RPCNHBECGNSCRLO,3657,112,INOMZYINCCISUCQ
F,T_xEfV1,810,PGYACUGIRYNMCBE,2411,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,150,EPGRUBMPZPBYLHC,2910,209,OXMMZOZDYYWVGJG
D,Y_A13Fm,38,IORHSTMRDEJEBPU,4471,210,LCZQWSYFTCTBQUI
B,T_Fe134,15,VCQKRGUMIWDESRW,3391,209,OXMMZOZDYYWVGJG
C,X_MM42e,213,AZVXUIYPGMHNZXJ,3632,171,WOTRJPNMGQSJCKW
E,K_12M34,390,CHVNCVKDEMWMRPE,2303,181,CBKMUWJEKWNROTY
D,Y_A13Fm,515,JHSFUSBMABVPPJH,3404,179,PKOSWZVLMXMTLZW
E,K_12M34,643,HOSFKFOMXMCHXPL,3921,162,KAQZSSKPPWRORYW
H,O_Um421,697,GHVMMFKKKMDGWBO,4111,198,UHNHONUHHZTFLGT
D,Y_A13Fm,100,KHVFQKBBTJPBMQP,2551,197,BNSCSXOJWAFTTVS
H,O_Um421,60,QEBBIPDXWRCHGSK,4867,209,OXMMZOZDYYWVGJG
H,O_Um421,149,LFUFLBFHQUOERLG,3903,215,QWJKGTTBATEWAHN
A,X_10fMM,64,WWDVEEYMDMTQDAH,2098,208,DPQLFVEHBGGKXGX
E,K_12M34,404,GUJKMIZNEXIEPZE,4748,197,BNSCSXOJWAFTTVS
E,K_12M34,100,KHVFQKBBTJPBMQP,3239,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,35,PSSVRABNAOGNKCP,2922,198,UHNHONUHHZTFLGT
H,O_Um421,659,SDHVERSRFEVGPNA,4701,197,BNSCSXOJWAFTTVS
A,X_10fMM,712,IKOPSJGARBTCQLY,3758,149,BGRMWMMUMEFOBGL
C,X_MM42e,518,FOLRHQUMXSELBYM,2402,179,PKOSWZVLMXMTLZW
F,T_xEfV1,431,PGRSPDOMBBGLRYP,4926,162,KAQZSSKPPWRORYW
B,T_Fe134,568,HFPDEYWZGYHHSJP,3365,149,BGRMWMMUMEFOBGL
A,X_10fMM,49,CPIEOLOBXRARHBO,1983,162,KAQZSSKPPWRORYW
C,X_MM42e,148,NOCWJPTSKUMKXVK,1221,208,DPQLFVEHBGGKXGX
E,K_12M34,113,JXFGSVBQNNEUMCJ,1691,174,JIBGCETMMPEQHUC
C,X_MM42e,177,MZXEXJZPBWCTOXL,3442,153,OLNSTYUIIIGYSSL
B,T_Fe134,35,PSSVRABNAOGNKCP,3098,162,KAQZSSKPPWRORYW
C,X_MM42e,96,TDGZPEQTLFGJQCV,4206,181,CBKMUWJEKWNROTY
D,Y_A13Fm,967,SHRIEJKCRXAXKPY,4614,197,BNSCSXOJWAFTTVS
C,X_MM42e,27,FCHGPOTLBXXKTOB,2742,179,PKOSWZVLMXMTLZW
H,O_Um421,213,AZVXUIYPGMHNZXJ,4980,153,OLNSTYUIIIGYSSL
K,R_NFT36,47,GVWFISHPCDXNRVU,1970,181,CBKMUWJEKWNROTY
D,Y_A13Fm,16,KAMABLMDNQXPNDU,2598,174,JIBGCETMMPEQHUC
K,R_NFT36,990,JAHPMDXMTWJIEDT,2769,209,OXMMZOZDYYWVGJG
E,K_12M34,14,OOMARJWTOWJFXLM,4239,215,QWJKGTTBATEWAHN
H,O_Um421,929,MZZSOCSUGSTUXPF,1974,210,LCZQWSYFTCTBQUI
E,K_12M34,962,PLENQJDDYZULYKA,1698,171,WOTRJPNMGQSJCKW
E,K_12M34,606,RRRGXLFJSGOHCYW,3688,215,QWJKGTTBATEWAHN
E,K_12M34,14,OOMARJWTOWJFXLM,1006,174,JIBGCETMMPEQHUC
G,U_oAo12,469,GCCIJFZZLUSNZKR,3398,179,PKOSWZVLMXMTLZW
G,U_oAo12,289,QRSBLITQOKOCXNM,2662,112,INOMZYINCCISUCQ
F,T_xEfV1,562,VNGWSFSNSIAFCGD,4222,197,BNSCSXOJWAFTTVS
H,O_Um421,458,DZGZSRGUYGDHDIX,1696,181,CBKMUWJEKWNROTY
K,R_NFT36,443,LLWUUQCYEXLUAIB,1140,171,WOTRJPNMGQSJCKW
C,X_MM42e,760,AIUYMMHXMPOYHJJ,4750,208,DPQLFVEHBGGKXGX
F,T_xEfV1,213,AZVXUIYPGMHNZXJ,2706,112,INOMZYINCCISUCQ
E,K_12M34,136,ABVXFPLEMVOTBRQ,4244,121,WWICVCDUHUKZAWN
A,X_10fMM,136,ABVXFPLEMVOTBRQ,1809,112,INOMZYINCCISUCQ
A,X_10fMM,347,PAVNWKHMTBVVNWB,1451,179,PKOSWZVLMXMTLZW
A,X_10fMM,38,IORHSTMRDEJEBPU,1064,174,JIBGCETMMPEQHUC
A,X_10fMM,177,MZXEXJZPBWCTOXL,1764,209,OXMMZOZDYYWVGJG
H,O_Um421,443,LLWUUQCYEXLUAIB,2349,210,LCZQWSYFTCTBQUI
K,R_NFT36,827,HBCWMFSNHTNNSOF,2246,171,WOTRJPNMGQSJCKW
B,T_Fe134,200,MLDOIVPFVDRVMRR,2743,179,PKOSWZVLMXMTLZW
G,U_oAo12,136,ABVXFPLEMVOTBRQ,3866,171,WOTRJPNMGQSJCKW
F,T_xEfV1,492,FBBYTXBZSXXEFLG,1486,153,OLNSTYUIIIGYSSL
H,O_Um421,647,PNAWBSQVYHBMFPO,2628,174,JIBGCETMMPEQHUC
D,Y_A13Fm,377,UHIWXYBDZCQDMBW,3305,215,QWJKGTTBATEWAHN
K,R_NFT36,826,GJBZRUMIQLQFNCZ,4564,171,WOTRJPNMGQSJCKW
G,U_oAo12,760,AIUYMMHXMPOYHJJ,4165,112,INOMZYINCCISUCQ
K,R_NFT36,441,IYRXKIAZTRFRADI,2402,198,UHNHONUHHZTFLGT
C,X_MM42e,518,FOLRHQUMXSELBYM,3203,210,LCZQWSYFTCTBQUI
H,O_Um421,14,OOMARJWTOWJFXLM,2626,210,LCZQWSYFTCTBQUI
F,T_xEfV1,859,DYGGIROHJBJBGMC,3278,209,OXMMZOZDYYWVGJG
F,T_xEfV1,47,GVWFISHPCDXNRVU,2772,208,DPQLFVEHBGGKXGX
A,X_10fMM,413,BYLODPSXBFMLHFU,2234,171,WOTRJPNMGQSJCKW
F,T_xEfV1,443,LLWUUQCYEXLUAIB,2861,198,UHNHONUHHZTFLGT
E,K_12M34,441,IYRXKIAZTRFRADI,3275,215,QWJKGTTBATEWAHN
H,O_Um421,49,CPIEOLOBXRARHBO,3355,179,PKOSWZVLMXMTLZW
F,T_xEfV1,295,EDJEGYBIQYVBXOA,1938,153,OLNSTYUIIIGYSSL
F,T_xEfV1,458,DZGZSRGUYGDHDIX,3544,171,WOTRJPNMGQSJCKW
F,T_xEfV1,458,DZGZSRGUYGDHDIX,4132,112,INOMZYINCCISUCQ
H,O_Um421,491,HWIQNNMEKJRBPGP,3509,153,OLNSTYUIIIGYSSL
E,K_12M34,650,UWIGXJDOHPGZKOC,2916,215,QWJKGTTBATEWAHN
C,X_MM42e,755,XIBUOKRQGJCFFMG,4588,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,305,USKWCWUANJKSPOV,3158,153,OLNSTYUIIIGYSSL
G,U_oAo12,755,XIBUOKRQGJCFFMG,1356,112,INOMZYINCCISUCQ
F,T_xEfV1,200,MLDOIVPFVDRVMRR,3841,198,UHNHONUHHZTFLGT
G,U_oAo12,672,LTFQSCEYRBVKUAP,2539,209,OXMMZOZDYYWVGJG
E,K_12M34,125,RVFYFMPWBZNWCQK,4286,112,INOMZYINCCISUCQ
F,T_xEfV1,940,XQCNPCOHYWSQVFY,4430,210,LCZQWSYFTCTBQUI
C,X_MM42e,289,QRSBLITQOKOCXNM,2967,149,BGRMWMMUMEFOBGL
F,T_xEfV1,20,ILQLMBISHNQTVFK,4329,174,JIBGCETMMPEQHUC
F,T_xEfV1,14,OOMARJWTOWJFXLM,3395,171,WOTRJPNMGQSJCKW
A,X_10fMM,125,RVFYFMPWBZNWCQK,1356,153,OLNSTYUIIIGYSSL
K,R_NFT36,337,GWZQDWLWEPCDWMX,3206,153,OLNSTYUIIIGYSSL
F,T_xEfV1,163,WJEQCQKJKVCRYMJ,4180,215,QWJKGTTBATEWAHN
D,Y_A13Fm,177,MZXEXJZPBWCTOXL,3997,179,PKOSWZVLMXMTLZW
B,T_Fe134,785,RPCNHBECGNSCRLO,1537,174,JIBGCETMMPEQHUC
E,K_12M34,595,TBAWQGLWABDNIIX,2651,215,QWJKGTTBATEWAHN
K,R_NFT36,674,AFNIOPRUNAKVQOO,2990,198,UHNHONUHHZTFLGT
H,O_Um421,550,JHDHDSBRIXPFYZF,3629,181,CBKMUWJEKWNROTY
G,U_oAo12,14,OOMARJWTOWJFXLM,1156,179,PKOSWZVLMXMTLZW
K,R_NFT36,307,ILISBJAVSODTASL,4656,174,JIBGCETMMPEQHUC
A,X_10fMM,674,AFNIOPRUNAKVQOO,5000,174,JIBGCETMMPEQHUC
D,Y_A13Fm,725,PXGPTCHULHWPELF,1778,198,UHNHONUHHZTFLGT
D,Y_A13Fm,35,PSSVRABNAOGNKCP,3428,174,JIBGCETMMPEQHUC
C,X_MM42e,385,NHYVTTIDXFYADCF,3320,181,CBKMUWJEKWNROTY
A,X_10fMM,149,LFUFLBFHQUOERLG,1588,153,OLNSTYUIIIGYSSL
A,X_10fMM,662,ODFURYFINNMQPUJ,3617,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,822,SKVFPHPLCMNHQPE,1265,181,CBKMUWJEKWNROTY
G,U_oAo12,305,USKWCWUANJKSPOV,2784,174,JIBGCETMMPEQHUC
K,R_NFT36,14,OOMARJWTOWJFXLM,3567,209,OXMMZOZDYYWVGJG
H,O_Um421,523,MLBHTRWIKRCOCYV,4789,121,WWICVCDUHUKZAWN
D,Y_A13Fm,582,VIYZJRMURLLANOL,1584,198,UHNHONUHHZTFLGT
E,K_12M34,377,UHIWXYBDZCQDMBW,3092,209,OXMMZOZDYYWVGJG
E,K_12M34,27,FCHGPOTLBXXKTOB,4888,210,LCZQWSYFTCTBQUI
K,R_NFT36,35,PSSVRABNAOGNKCP,1838,210,LCZQWSYFTCTBQUI
G,U_oAo12,443,LLWUUQCYEXLUAIB,2079,209,OXMMZOZDYYWVGJG
A,X_10fMM,755,XIBUOKRQGJCFFMG,2614,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,827,HBCWMFSNHTNNSOF,2689,162,KAQZSSKPPWRORYW
B,T_Fe134,643,HOSFKFOMXMCHXPL,4453,181,CBKMUWJEKWNROTY
K,R_NFT36,47,GVWFISHPCDXNRVU,3471,209,OXMMZOZDYYWVGJG
H,O_Um421,838,ZLOCESNXHIZOOUL,1628,198,UHNHONUHHZTFLGT
D,Y_A13Fm,64,WWDVEEYMDMTQDAH,2665,179,PKOSWZVLMXMTLZW
F,T_xEfV1,967,SHRIEJKCRXAXKPY,1974,171,WOTRJPNMGQSJCKW
C,X_MM42e,159,KBCJRMNZUDVGIQH,1923,208,DPQLFVEHBGGKXGX
H,O_Um421,643,HOSFKFOMXMCHXPL,3931,174,JIBGCETMMPEQHUC
K,R_NFT36,458,DZGZSRGUYGDHDIX,1570,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,91,RALPDQBXBDJTNPW,3517,171,WOTRJPNMGQSJCKW
E,K_12M34,863,YEESBRKROXSGSQS,2422,171,WOTRJPNMGQSJCKW
F,T_xEfV1,431,PGRSPDOMBBGLRYP,3772,198,UHNHONUHHZTFLGT
K,R_NFT36,27,FCHGPOTLBXXKTOB,1335,197,BNSCSXOJWAFTTVS
E,K_12M34,606,RRRGXLFJSGOHCYW,2170,162,KAQZSSKPPWRORYW
A,X_10fMM,347,PAVNWKHMTBVVNWB,3630,112,INOMZYINCCISUCQ
B,T_Fe134,64,WWDVEEYMDMTQDAH,3823,210,LCZQWSYFTCTBQUI
C,X_MM42e,125,RVFYFMPWBZNWCQK,2132,209,OXMMZOZDYYWVGJG
G,U_oAo12,337,GWZQDWLWEPCDWMX,1162,121,WWICVCDUHUKZAWN
A,X_10fMM,595,TBAWQGLWABDNIIX,2847,179,PKOSWZVLMXMTLZW
A,X_10fMM,562,VNGWSFSNSIAFCGD,1222,174,JIBGCETMMPEQHUC
F,T_xEfV1,14,OOMARJWTOWJFXLM,3761,179,PKOSWZVLMXMTLZW
H,O_Um421,659,SDHVERSRFEVGPNA,2959,162,KAQZSSKPPWRORYW
K,R_NFT36,177,MZXEXJZPBWCTOXL,2832,112,INOMZYINCCISUCQ
A,X_10fMM,650,UWIGXJDOHPGZKOC,1945,153,OLNSTYUIIIGYSSL
A,X_10fMM,295,EDJEGYBIQYVBXOA,2236,153,OLNSTYUIIIGYSSL
B,T_Fe134,515,JHSFUSBMABVPPJH,1297,162,KAQZSSKPPWRORYW
F,T_xEfV1,606,RRRGXLFJSGOHCYW,3412,215,QWJKGTTBATEWAHN
G,U_oAo12,368,HXUBRLHKGOBUJKR,1704,181,CBKMUWJEKWNROTY
F,T_xEfV1,379,TUHOMJTPLRKEYQA,1946,149,BGRMWMMUMEFOBGL
B,T_Fe134,337,GWZQDWLWEPCDWMX,1151,181,CBKMUWJEKWNROTY
G,U_oAo12,674,AFNIOPRUNAKVQOO,1068,215,QWJKGTTBATEWAHN
C,X_MM42e,35,PSSVRABNAOGNKCP,4877,179,PKOSWZVLMXMTLZW
E,K_12M34,699,MIYDBATFLODBRRA,2228,112,INOMZYINCCISUCQ
E,K_12M34,546,AASZXWXFJTNTKNX,4239,153,OLNSTYUIIIGYSSL
H,O_Um421,443,LLWUUQCYEXLUAIB,3595,149,BGRMWMMUMEFOBGL
C,X_MM42e,136,ABVXFPLEMVOTBRQ,1096,121,WWICVCDUHUKZAWN
B,T_Fe134,16,KAMABLMDNQXPNDU,1508,149,BGRMWMMUMEFOBGL
H,O_Um421,583,QDMHXFMKFQWMNUF,1063,179,PKOSWZVLMXMTLZW
H,O_Um421,136,ABVXFPLEMVOTBRQ,4107,181,CBKMUWJEKWNROTY
C,X_MM42e,810,PGYACUGIRYNMCBE,4901,209,OXMMZOZDYYWVGJG
C,X_MM42e,583,QDMHXFMKFQWMNUF,2287,179,PKOSWZVLMXMTLZW
A,X_10fMM,377,UHIWXYBDZCQDMBW,3666,171,WOTRJPNMGQSJCKW
K,R_NFT36,443,LLWUUQCYEXLUAIB,1262,121,WWICVCDUHUKZAWN
E,K_12M34,15,VCQKRGUMIWDESRW,2714,171,WOTRJPNMGQSJCKW
F,T_xEfV1,441,IYRXKIAZTRFRADI,4060,208,DPQLFVEHBGGKXGX
B,T_Fe134,213,AZVXUIYPGMHNZXJ,2027,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,491,HWIQNNMEKJRBPGP,4995,174,JIBGCETMMPEQHUC
D,Y_A13Fm,643,HOSFKFOMXMCHXPL,3090,112,INOMZYINCCISUCQ
H,O_Um421,38,IORHSTMRDEJEBPU,3049,210,LCZQWSYFTCTBQUI
A,X_10fMM,431,PGRSPDOMBBGLRYP,1574,174,JIBGCETMMPEQHUC
C,X_MM42e,859,DYGGIROHJBJBGMC,2273,162,KAQZSSKPPWRORYW
H,O_Um421,822,SKVFPHPLCMNHQPE,3436,215,QWJKGTTBATEWAHN
C,X_MM42e,889,GMPOFQSNXAFECJD,1862,112,INOMZYINCCISUCQ
F,T_xEfV1,240,CFSPXFBIYSITKUE,3353,181,CBKMUWJEKWNROTY
H,O_Um421,798,USPSEOSELIAAPUD,2342,198,UHNHONUHHZTFLGT
G,U_oAo12,595,TBAWQGLWABDNIIX,4168,121,WWICVCDUHUKZAWN
G,U_oAo12,697,GHVMMFKKKMDGWBO,4208,197,BNSCSXOJWAFTTVS
B,T_Fe134,606,RRRGXLFJSGOHCYW,2987,149,BGRMWMMUMEFOBGL
F,T_xEfV1,798,USPSEOSELIAAPUD,3925,174,JIBGCETMMPEQHUC
A,X_10fMM,149,LFUFLBFHQUOERLG,4814,162,KAQZSSKPPWRORYW
E,K_12M34,385,NHYVTTIDXFYADCF,3983,197,BNSCSXOJWAFTTVS
H,O_Um421,785,RPCNHBECGNSCRLO,1695,171,WOTRJPNMGQSJCKW
C,X_MM42e,47,GVWFISHPCDXNRVU,1228,181,CBKMUWJEKWNROTY
H,O_Um421,150,EPGRUBMPZPBYLHC,3091,198,UHNHONUHHZTFLGT
H,O_Um421,863,YEESBRKROXSGSQS,1976,149,BGRMWMMUMEFOBGL
E,K_12M34,518,FOLRHQUMXSELBYM,2372,215,QWJKGTTBATEWAHN
H,O_Um421,20,ILQLMBISHNQTVFK,1662,215,QWJKGTTBATEWAHN
B,T_Fe134,952,VURNASZCCMBGFMH,1910,121,WWICVCDUHUKZAWN
G,U_oAo12,64,WWDVEEYMDMTQDAH,1334,121,WWICVCDUHUKZAWN
G,U_oAo12,443,LLWUUQCYEXLUAIB,2838,179,PKOSWZVLMXMTLZW
C,X_MM42e,390,CHVNCVKDEMWMRPE,2562,208,DPQLFVEHBGGKXGX
B,T_Fe134,96,TDGZPEQTLFGJQCV,3107,174,JIBGCETMMPEQHUC
A,X_10fMM,838,ZLOCESNXHIZOOUL,3953,210,LCZQWSYFTCTBQUI
C,X_MM42e,515,JHSFUSBMABVPPJH,4399,210,LCZQWSYFTCTBQUI
B,T_Fe134,15,VCQKRGUMIWDESRW,3960,208,DPQLFVEHBGGKXGX
G,U_oAo12,863,YEESBRKROXSGSQS,2246,210,LCZQWSYFTCTBQUI
A,X_10fMM,413,BYLODPSXBFMLHFU,4597,197,BNSCSXOJWAFTTVS
F,T_xEfV1,150,EPGRUBMPZPBYLHC,3917,174,JIBGCETMMPEQHUC
C,X_MM42e,962,PLENQJDDYZULYKA,3520,181,CBKMUWJEKWNROTY
H,O_Um421,441,IYRXKIAZTRFRADI,2308,197,BNSCSXOJWAFTTVS
K,R_NFT36,240,CFSPXFBIYSITKUE,2369,198,UHNHONUHHZTFLGT
C,X_MM42e,659,SDHVERSRFEVGPNA,1850,174,JIBGCETMMPEQHUC
F,T_xEfV1,96,TDGZPEQTLFGJQCV,4383,198,UHNHONUHHZTFLGT
A,X_10fMM,595,TBAWQGLWABDNIIX,4750,197,BNSCSXOJWAFTTVS
G,U_oAo12,54,EYDZXNGJGPZNZVI,4241,149,BGRMWMMUMEFOBGL
B,T_Fe134,148,NOCWJPTSKUMKXVK,3159,162,KAQZSSKPPWRORYW
B,T_Fe134,518,FOLRHQUMXSELBYM,1129,208,DPQLFVEHBGGKXGX
A,X_10fMM,96,TDGZPEQTLFGJQCV,3091,181,CBKMUWJEKWNROTY
E,K_12M34,163,WJEQCQKJKVCRYMJ,4195,181,CBKMUWJEKWNROTY
K,R_NFT36,952,VURNASZCCMBGFMH,2077,112,INOMZYINCCISUCQ
G,U_oAo12,136,ABVXFPLEMVOTBRQ,2316,198,UHNHONUHHZTFLGT
K,R_NFT36,515,JHSFUSBMABVPPJH,1301,121,WWICVCDUHUKZAWN
B,T_Fe134,699,MIYDBATFLODBRRA,4996,171,WOTRJPNMGQSJCKW
F,T_xEfV1,138,WWWKZNUKKOCVLDA,3108,112,INOMZYINCCISUCQ
D,Y_A13Fm,100,KHVFQKBBTJPBMQP,3601,162,KAQZSSKPPWRORYW
F,T_xEfV1,583,QDMHXFMKFQWMNUF,2167,121,WWICVCDUHUKZAWN
F,T_xEfV1,413,BYLODPSXBFMLHFU,2393,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,379,TUHOMJTPLRKEYQA,3804,197,BNSCSXOJWAFTTVS
K,R_NFT36,27,FCHGPOTLBXXKTOB,3505,174,JIBGCETMMPEQHUC
A,X_10fMM,337,GWZQDWLWEPCDWMX,4933,197,BNSCSXOJWAFTTVS
G,U_oAo12,458,DZGZSRGUYGDHDIX,3367,198,UHNHONUHHZTFLGT
H,O_Um421,838,ZLOCESNXHIZOOUL,2296,112,INOMZYINCCISUCQ
H,O_Um421,643,HOSFKFOMXMCHXPL,2485,198,UHNHONUHHZTFLGT
A,X_10fMM,550,JHDHDSBRIXPFYZF,3728,210,LCZQWSYFTCTBQUI
G,U_oAo12,962,PLENQJDDYZULYKA,1454,112,INOMZYINCCISUCQ
B,T_Fe134,149,LFUFLBFHQUOERLG,1227,162,KAQZSSKPPWRORYW
F,T_xEfV1,419,OHXGDSVDHPGJGAO,1515,179,PKOSWZVLMXMTLZW
G,U_oAo12,990,JAHPMDXMTWJIEDT,2234,153,OLNSTYUIIIGYSSL
G,U_oAo12,699,MIYDBATFLODBRRA,3924,208,DPQLFVEHBGGKXGX
F,T_xEfV1,672,LTFQSCEYRBVKUAP,3929,162,KAQZSSKPPWRORYW
F,T_xEfV1,27,FCHGPOTLBXXKTOB,1253,174,JIBGCETMMPEQHUC
D,Y_A13Fm,810,PGYACUGIRYNMCBE,4589,112,INOMZYINCCISUCQ
E,K_12M34,27,FCHGPOTLBXXKTOB,2776,181,CBKMUWJEKWNROTY
G,U_oAo12,47,GVWFISHPCDXNRVU,3475,149,BGRMWMMUMEFOBGL
B,T_Fe134,546,AASZXWXFJTNTKNX,4281,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,413,BYLODPSXBFMLHFU,1794,179,PKOSWZVLMXMTLZW
K,R_NFT36,785,RPCNHBECGNSCRLO,2571,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,125,RVFYFMPWBZNWCQK,2146,208,DPQLFVEHBGGKXGX
E,K_12M34,149,LFUFLBFHQUOERLG,4284,210,LCZQWSYFTCTBQUI
B,T_Fe134,200,MLDOIVPFVDRVMRR,1865,174,JIBGCETMMPEQHUC
C,X_MM42e,15,VCQKRGUMIWDESRW,1219,210,LCZQWSYFTCTBQUI
E,K_12M34,697,GHVMMFKKKMDGWBO,1801,210,LCZQWSYFTCTBQUI
H,O_Um421,60,QEBBIPDXWRCHGSK,3894,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,758,CDSHIUCJMSVSCEJ,2182,112,INOMZYINCCISUCQ
A,X_10fMM,148,NOCWJPTSKUMKXVK,3203,112,INOMZYINCCISUCQ
D,Y_A13Fm,150,EPGRUBMPZPBYLHC,2229,153,OLNSTYUIIIGYSSL
C,X_MM42e,755,XIBUOKRQGJCFFMG,2796,208,DPQLFVEHBGGKXGX
F,T_xEfV1,962,PLENQJDDYZULYKA,2357,197,BNSCSXOJWAFTTVS
G,U_oAo12,523,MLBHTRWIKRCOCYV,4632,210,LCZQWSYFTCTBQUI
K,R_NFT36,952,VURNASZCCMBGFMH,2313,208,DPQLFVEHBGGKXGX
E,K_12M34,725,PXGPTCHULHWPELF,2436,149,BGRMWMMUMEFOBGL
D,Y_A13Fm,568,HFPDEYWZGYHHSJP,3473,149,BGRMWMMUMEFOBGL
G,U_oAo12,562,VNGWSFSNSIAFCGD,1366,153,OLNSTYUIIIGYSSL
F,T_xEfV1,200,MLDOIVPFVDRVMRR,4192,179,PKOSWZVLMXMTLZW
G,U_oAo12,142,XVRRJLDRBCRUBVU,4904,153,OLNSTYUIIIGYSSL
